anio;region_sanitaria ;municipio_id;municipio_nombre ;CIE10_codigo;CIE10_descripcion;clasificacion;cantidad
2009;Ignorado;06999;Ignorado;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;VI;06028;Almirante Brown;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;VI;06028;Almirante Brown;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;VI;06028;Almirante Brown;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;2
2009;IX;06049;Azul;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;IV;06070;Baradero;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;VI;06091;Berazategui;O91;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;VI;06091;Berazategui;O16;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;VI;06091;Berazategui;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;XI;06098;Berisso;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;IX;06105;Bolívar;O13;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;V;06126;Campana;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;2
2009;IV;06140;Capitán Sarmiento;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2009;II;06147;Carlos Casares;O72;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;VI;06260;Esteban Echeverría;O62;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;V;06266;Exaltación de la Cruz;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;VI;06270;Ezeiza;B24;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (V.I.H.) (B20 - B24);INDIRECTA;1
2009;VI;06274;Florencio Varela;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;2
2009;VI;06274;Florencio Varela;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2009;VI;06274;Florencio Varela;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;3
2009;VIII;06336;General Lavalle;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;III;06351;General Pinto;O23;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO (O20 - O29);DIRECTA;1
2009;VII;06364;General Rodríguez;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;VII;06364;General Rodríguez;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;2
2009;V;06371;General San Martín;O01;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06371;General San Martín;O06;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;II;06406;Hipólito Yrigoyen;O14;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;V;06412;José C. Paz;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06412;José C. Paz;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;XII;06427;La Matanza;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;XII;06427;La Matanza;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;XII;06427;La Matanza;O00;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;XII;06427;La Matanza;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;5
2009;XII;06427;La Matanza;O98;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;XII;06427;La Matanza;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;4
2009;XI;06441;La Plata;O69;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;XI;06441;La Plata;O75;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;XI;06441;La Plata;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;3
2009;XI;06441;La Plata;O06;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;XI;06441;La Plata;O26;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO (O20 - O29);DIRECTA;1
2009;XI;06441;La Plata;O98;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;VI;06434;Lanús;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;4
2009;IX;06448;Laprida;O72;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;VI;06490;Lomas de Zamora;O72;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;VI;06490;Lomas de Zamora;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;VI;06490;Lomas de Zamora;O01;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;VI;06490;Lomas de Zamora;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;VI;06490;Lomas de Zamora;O06;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;VI;06490;Lomas de Zamora;O98;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;VI;06490;Lomas de Zamora;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;3
2009;V;06515;Malvinas Argentinas;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;2
2009;V;06515;Malvinas Argentinas;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06515;Malvinas Argentinas;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;VII;06539;Merlo;O88;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;VII;06539;Merlo;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;VII;06539;Merlo;O01;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;VII;06560;Moreno;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;VII;06560;Moreno;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;2
2009;VII;06560;Moreno;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;3
2009;VII;06568;Morón;O14;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;VII;06568;Morón;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2009;IV;06623;Pergamino;O02;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;IV;06623;Pergamino;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;V;06638;Pilar;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2009;V;06638;Pilar;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06638;Pilar;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2009;XI;06648;Presidente Perón;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;VI;06658;Quilmes;O44;ATENCION MATERNA RELACIONADA CON EL FETO Y LA CAVIDAD AMNIOTICA Y CON POSIBLES PROBLEMAS DEL PARTO (O30-O48);DIRECTA;1
2009;VI;06658;Quilmes;O75;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;VI;06658;Quilmes;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;IV;06686;Rojas;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06756;San Isidro;O71;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2009;V;06756;San Isidro;O88;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;V;06756;San Isidro;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06756;San Isidro;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;V;06760;San Miguel;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;2
2009;V;06760;San Miguel;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;2
2009;IV;06763;San Nicolás;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;IV;06763;San Nicolás;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;IV;06763;San Nicolás;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;IV;06770;San Pedro;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2009;V;06805;Tigre;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;V;06805;Tigre;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06861;Vicente López;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2009;V;06882;Zárate;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2009;V;06882;Zárate;O00;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;Ignorado;06999;Ignorado;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2010;X;06854;25 de Mayo;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2010;VI;06028;Almirante Brown;O44;ATENCION MATERNA RELACIONADA CON EL FETO Y LA CAVIDAD AMNIOTICA Y CON POSIBLES PROBLEMAS DEL PARTO (O30-O48);DIRECTA;1
2010;VI;06028;Almirante Brown;O88;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2010;VI;06028;Almirante Brown;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2010;VI;06028;Almirante Brown;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2010;VI;06035;Avellaneda;O72;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;2
2010;VI;06035;Avellaneda;O74;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2010;VI;06035;Avellaneda;O00;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;VI;06035;Avellaneda;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;IX;06049;Azul;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;VIII;06063;Balcarce;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;IX;06084;Benito Juárez;O15;EDEMA, PROTEINURIA Y TRASTORNOS HIPERTENSIVOS EN EL EMBARAZO, EL PARTO Y EL PUERPERIO (O10 - O16);DIRECTA;1
2010;VI;06091;Berazategui;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;VI;06091;Berazategui;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;2
2010;XI;06098;Berisso;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2010;X;06112;Bragado;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2010;XI;06134;Cañuelas;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;IV;06175;Colón;O88;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2010;XI;06245;Ensenada;O98;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2010;VI;06260;Esteban Echeverría;O71;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2010;VI;06260;Esteban Echeverría;O85;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2010;VI;06260;Esteban Echeverría;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2010;VI;06260;Esteban Echeverría;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;3
2010;V;06266;Exaltación de la Cruz;O01;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;VI;06270;Ezeiza;O72;COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO (O60 - O75);DIRECTA;1
2010;VI;06270;Ezeiza;O88;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO (O85 - O92);DIRECTA;1
2010;VI;06270;Ezeiza;O05;EMBARAZO TERMINADO EN ABORTO (O00 - O08);DIRECTA;1
2010;VI;06270;Ezeiza;O95;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);DIRECTA;1
2010;VIII;06315;General Juan Madariaga;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
2010;VIII;06357;General Pueyrredón;O99;OTRAS AFECCIONES OBSTETRICAS NO CLASIFICADAS EN OTRA PARTE (O95 - O99);INDIRECTA;1
